file name,titls as per dsbc,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
book_85.xml,Advayasiddhiḥ,XXn740u,,,,,Advayasiddhi,,,,https://www.dsbcproject.org/canon-text/book/85,,
book_82.xml,Advayavajrasaṇgrahaḥ,XXn693u,,,,,Advayavajrasaṃgraha [Advayavajrasaṅgraha],,,,https://www.dsbcproject.org/canon-text/book/82,,
book_79.xml,Nānāsiddhopadeśaḥ,XXn690u,,,,,Nānāsiddhopadeśa,,,,https://www.dsbcproject.org/canon-text/book/79,,
book_809.xml,Ḍākārṇavaḥ,XXn2938u,,,,,Ḍākārṇava,,,,https://www.dsbcproject.org/canon-text/book/809,,https://archive.org/search.php?query=%E1%B8%8C%C4%81k%C4%81r%E1%B9%87ava
book_797.xml,Buddhakapālatantra,XXn2927u,,,,,Buddhakapālatantra,,,,https://www.dsbcproject.org/canon-text/book/797,,
book_770.xml,Svapnādhyāya,XXn2898u,,,,,Svapnādhyāya,,,,https://www.dsbcproject.org/canon-text/book/770,,
book_762.xml,Caṇḍamahāroṣaṇa tantra,XXn2890u,,,,,Caṇḍamahāroṣaṇatantra,,,,https://www.dsbcproject.org/canon-text/book/762,,
book_728.xml,kalpoktamārīcīsādhanam,XXn2856u,,,,,Kalpoktamārīcīsādhana,,,,https://www.dsbcproject.org/canon-text/book/728,,
book_273.xml,Nṛtyaprasūtiḥ,XXn1143u,,,,,Nṛtyaprasūti,,,,https://www.dsbcproject.org/canon-text/book/273,,
book_272.xml,Nālandādahanam,XXn1142u,,,,,Nālandādahana,,,,https://www.dsbcproject.org/canon-text/book/272,,
book_271.xml,Nāgānandam nāṭaka,XXn1137u,,,,,Nāgānanda Nāṭaka,,Harṣadeva,P7374,https://www.dsbcproject.org/canon-text/book/271,,https://archive.org/details/NaganandaHarshaDevaJivanandVidyasagar/mode/2up
book_270.xml,Buddhamatam,XXn1136u,,,,,Buddhamata,,,,https://www.dsbcproject.org/canon-text/book/270,,
book_232.xml,Mahāvyutpatti,T17n996u,,,T54n2131?,"??? The title is seems to be Fānyì míngyì dàjí 翻譯名義大集. Michael: My memory is that T2131 is a MVy-like text, but not the same thing. Sorry to say I cannot remember where I got this idea.",??? Mahāvyutpatti,,,,https://www.dsbcproject.org/canon-text/book/232,,https://archive.org/search.php?query=Mah%C4%81vyutpatti
book_229.xml,Bauddha tantra kośa (I),T17n958u,,,,Not found.,Bauddhatantrakośa I,,,,https://www.dsbcproject.org/canon-text/book/229,,
book_815.xml,Viśvaprakāśaḥ,T17n2944u,,,,Not found.,Viśvaprakāśa,,,,https://www.dsbcproject.org/canon-text/book/815,,https://archive.org/details/in.ernet.dli.2015.553678/mode/2up
book_807.xml,Śabdabhedaprakāśaḥ,T17n2936u,,,,Not found.,Śabdabhedaprakāśa,,Maheśvara,P0AT0264,https://www.dsbcproject.org/canon-text/book/807,,https://archive.org/search.php?query=%C5%9Aabdabhedaprak%C4%81%C5%9Ba
book_832.xml,Vajrayāna darśana mīmāṁsā,T16n2959u,,,,Not found.,Vajrayāna darśana mīmāṁsā,,,,https://www.dsbcproject.org/canon-text/book/832,,
book_788.xml,Svastyayanagāthā,T16n2916u,"D818, D1102, D4401","D818, D1102, D4401",,Not found.,Svastyayanagāthā,,,,https://www.dsbcproject.org/canon-text/book/788,,
book_747.xml,Śvānastavakāvyam,T16n2875u,,,,Not found.,Śvānastavakāvya,,,,https://www.dsbcproject.org/canon-text/book/747,,
book_323.xml,Tarkabhāṣāṭīkā,T16n1289u,,,,Not found.,Tarkabhāṣāṭīkā,,Śrīmokṣākaragupta,P0AT0343,https://www.dsbcproject.org/canon-text/book/323,,
book_274.xml,Nītiśāstram,T15n1144u,D4335,D4335,,Not found.,Nītiśāstra,,,,https://www.dsbcproject.org/canon-text/book/274,,https://archive.org/search.php?query=N%C4%ABti%C5%9B%C4%81stra
book_316.xml,Pratimālakṣaṇavivaraṇam,T14n1282u,D4315,D4315,,Not found.,Pratimālakṣaṇavivaraṇa,,,,https://www.dsbcproject.org/canon-text/book/316,,
book_312.xml,Ātreyatilakam,T14n1279u,T14D4316,D4316,,Not found.,Ātreyatilaka,,,,https://www.dsbcproject.org/canon-text/book/312,,
book_224.xml,Saundaranandam Mahākāvyam,T13n929u,,,,Not found.,Saundarananda Mahākāvya,,,,https://www.dsbcproject.org/canon-text/book/224,,https://archive.org/search.php?query=Saundarananda
book_874.xml,Paścāttāpaḥ,T13n3004u,,,,Not found.,Paścāttāpa,,,,https://www.dsbcproject.org/canon-text/book/874,,
book_848.xml,Saṅgītamālikā,T13n2976u,,,,Not found.,Saṅgītamālikā,,,,https://www.dsbcproject.org/canon-text/book/848,,https://archive.org/details/TxtSktSangItamAlikAOfMahammadShah19480119/mode/2up
book_811.xml,Triratnasaundaryagāthā,T13n2940u,,,,Not found.,Triratnasaundaryagāthā,,,,https://www.dsbcproject.org/canon-text/book/811,,
book_108.xml,Chandoratnākaraḥ (svopajña samanvitaḥ),T12n801u,"T12D4304, D4303, D4459","D4304, D4303, D4459",,Not found.,Chandoratnākara,,Ratnākaraśānti,P00EGS1016642,https://www.dsbcproject.org/canon-text/book/108,,https://archive.org/details/ratnakarasantischandoratnakaramichaelhahn_212_o
book_830.xml,vṛttamālāstutiḥ,T12n2957u,D4305(a),D4305a,,Not found.,Vṛttamālāstuti,With Śākyarakṣita’s Vṛttamālā(stuti)vivṛti,Jñānaśrīmitra,P4CZ16872,https://www.dsbcproject.org/canon-text/book/830,,
book_77.xml,Nyāyapraveśakasūtram,T11n634u,T11D4208,D4208,,T1630,Nyāyapraveśakasūtra,,,,https://www.dsbcproject.org/canon-text/book/77,,
book_864.xml,Viśālāmalavatī Pramāṇasamuccayaṭīkā,T11n2992u,T11D4268,D4268,,Not found.,Viśālāmalavatī Pramāṇasamuccayaṭīkā,,Jinendrabuddhi,,https://www.dsbcproject.org/canon-text/book/864,,
book_731.xml,Anupalabdhirahasya,T11n2859u,,,,Not found.,Anupalabdhirahasya,,Jñānaśrīmitra,P4CZ16872,https://www.dsbcproject.org/canon-text/book/731,,
book_719.xml,Bauddha manīṣā- Bauddheṣu Pramāṇamīmāṃsā,T11n2848u,,,,Not found.,Bauddha manīṣā- Bauddheṣu Pramāṇamīmāṃsā,,,,https://www.dsbcproject.org/canon-text/book/719,,
book_296.xml,Nyāyabinduṭīkāṭippaṇī,T11n1242u,,,,Not found.,Nyāyabinduṭīkāṭippaṇī,,,,https://www.dsbcproject.org/canon-text/book/296,,https://archive.org/details/nyayabindutikati00dhar/mode/2up
book_291.xml,Jātinirākṛti,T11n1238u,,,,Not found.,Jātinirākṛti,,,,https://www.dsbcproject.org/canon-text/book/291,,
book_282.xml,Vādanyāyaṭīkā,T11n1226u,"T11D4239, D4240","D4239, D4240",,Not found.,Vādanyāyaṭīkā,,Vinītadeva,P9951,https://www.dsbcproject.org/canon-text/book/282,,
book_879.xml,Vimalaratnalekhaḥ,T10n3009u,"D4566, D4188","D4566, D4188",,Not found.,Vimalaratnalekha,,,,https://www.dsbcproject.org/canon-text/book/879,,
book_774.xml,Daṇḍikathā,T10n2902u,,,,Not found.,Daṇḍikathā,,,,https://www.dsbcproject.org/canon-text/book/774,,
book_103.xml,Subodhālaṅkāraḥ,T07n797u,,,,Not found.,Subodhālaṅkāra,,,,https://www.dsbcproject.org/canon-text/book/103,,https://archive.org/details/subodh-pts-ed.-jaini-book-1/page/n7/mode/2up
book_97.xml,Abhidharmāmṛta,T07n772u,,,T28n1553,,Abhidharmāmṛta,,Ghoṣaka,P0AT0261,https://www.dsbcproject.org/canon-text/book/97,,https://archive.org/details/in.ernet.dli.2015.326757/mode/2up
book_867.xml,Mahāyānasaṃgraha,T06n2994u,T06D4048,D4048,"T31n1592, T31n1593, T31n1594",n2994u is reconstructed from Chn or TIb - not reliable!,Mahāyānasaṃgraha,,Asaṅga,P6117,https://www.dsbcproject.org/canon-text/book/867,,https://archive.org/search.php?query=Mah%C4%81y%C4%81nasa%E1%B9%83graha
book_341.xml,Yogācārabhūmiḥ,T06n1394u,T06D4035,D4035,T30n1579,,Yogācārabhūmi,,Asaṅga,P6117,https://www.dsbcproject.org/canon-text/book/341,,https://archive.org/search.php?query=Yog%C4%81c%C4%81rabh%C5%ABmi
book_329.xml,Cittatatvasaṅgrahaḥ,T06n1333u,,,,Not found.,Cittatattvasaṅgraha,"In this title, I changed the word ""tatva"" to ""tattva"", which seems to be way more common.",,,https://www.dsbcproject.org/canon-text/book/329,,
book_324.xml,Bāhyarthasiddhikārikānāma,T06n1290u,D4244,D4244,,Not found.,Bāhyarthasiddhikārikānāma,,Śubhagupta,,https://www.dsbcproject.org/canon-text/book/324,,
book_262.xml,Bodhyāpattideśanāvṛttiḥ,T05n1110u,D4005,D4005,,Not found.,Bodhyāpattideśanāvṛtti,,Nāgārjuna,P4954,https://www.dsbcproject.org/canon-text/book/262,,
book_156.xml,Paramārthastavaḥ,T04n849u,D1122,D1122,,Not found.,Paramārthastava,,Nāgārjuna,P4954,https://www.dsbcproject.org/canon-text/book/156,,
book_155.xml,Niraupamyastavaḥ,T04n848u,D1119,D1119,,Not found.,Niraupamyastava,,Nāgārjuna,P4954,https://www.dsbcproject.org/canon-text/book/155,,
book_154.xml,Madhyamakaśāstrastutiḥ,T04n847u,,,,Not found.,Madhyamakaśāstrastuti,,,,https://www.dsbcproject.org/canon-text/book/154,,
book_852.xml,Madhyamakāvatārakārikā,T04n2980u,,,,Not found.,Madhyamakāvatārakārikā,,Candrakīrti,P5782,https://www.dsbcproject.org/canon-text/book/852,,
book_721.xml,Svabhāvavādaḥ,T04n2850u,,,,Not found.,Svabhāvavāda,,,,https://www.dsbcproject.org/canon-text/book/721,,
book_244.xml,Madhyamārthasaṃgrahaḥ,T04n1047u,T04D3857,D3857,,Not found.,Madhyamārthasaṃgraha,,,,https://www.dsbcproject.org/canon-text/book/244,,
book_240.xml,Madhyamakahṛdayaḥ,T04n1003u,T04D3855,D3855,,Not found.,Madhyamakahṛdaya,,Bhāvaviveka,,https://www.dsbcproject.org/canon-text/book/240,,
book_239.xml,Hastavālaprakaraṇavṛttiḥ,T04n1002u,,,T1620,Michael: but cf. T1620 (could extract at least a partial parallel from Skt? or is Hastavālaprakaraṇa per se listed elsewhere in your table?).,Hastavālaprakaraṇavṛtti,,,,https://www.dsbcproject.org/canon-text/book/239,,
book_172.xml,Ṣaṭpāramitāstotram,T03n865u,K12D0675_H0648,D0675,,Not found.,Ṣaṭpāramitāstotra,,,,https://www.dsbcproject.org/canon-text/book/172,,
book_171.xml,Prajñāpāramitāstutiḥ,T03n864u,,,,Not found.,Prajñāpāramitāstuti,,,,https://www.dsbcproject.org/canon-text/book/171,,
book_276.xml,Abhisamayālaṇkāraloka,T03n1146u,T03D3791,D3791,,Not found.,Abhisamayālaṃkārāloka [Abhisamayālaṅkārāloka],,Haribhadra,P7297,https://www.dsbcproject.org/canon-text/book/276,,
book_106.xml,Sekoddeśapañjikā,T02n800u,T02D1354,D1354,,Not found.,Sekoddeśapañjikā,,,,https://www.dsbcproject.org/canon-text/book/106,,
book_104.xml,Ḍākinījālasaṃvararahasyam,T02n798u,,,,Not found.,Ḍākinījālasaṃvararahasya,,,,https://www.dsbcproject.org/canon-text/book/104,,
book_81.xml,Cakrasaṃvaratantram [Vol.2],T02n692u,,,,Not found.,Cakrasaṃvaratantra Vol. 2,,,,https://www.dsbcproject.org/canon-text/book/81,,
book_80.xml,Cakrasaṃvaratantram [Vol.1],T02n691u,,,,Not found.,Cakrasaṃvaratantra Vol. 1,,,,https://www.dsbcproject.org/canon-text/book/80,,
book_881.xml,Laghukaumudīvyākaraṇam,T02n3011u,,,,Not found.,Laghukaumudīvyākaraṇa,,,,https://www.dsbcproject.org/canon-text/book/881,,
book_876.xml,Boudhatantrokta Siddhauṣadhi Saṅgrahaḥ,T02n3006u,,,,Not found.,Boudhatantrokta Siddhauṣadhi Saṅgraha,,,,https://www.dsbcproject.org/canon-text/book/876,,
book_866.xml,Laghutantraṭīkā,T02n2998u,T02D1402,D1402,,Not found.,Laghutantraṭīkā,,Vajrapāṇi,,https://www.dsbcproject.org/canon-text/book/866,,
book_860.xml,Jñānasiddhi,T02n2988u,T02D2219,D2219,,Not found.,Jñānasiddhi,,,,https://www.dsbcproject.org/canon-text/book/860,,
book_856.xml,Caryāsaṃgrahaḥ,T02n2984u,,,,Not found.,Caryāsaṃgraha,,,,https://www.dsbcproject.org/canon-text/book/856,,
book_854.xml,Mañjuvajramukhyākhyāna,T02n2982u,,,,Not found.,Mañjuvajramukhyākhyāna,,,,https://www.dsbcproject.org/canon-text/book/854,,
book_846.xml,Munimatālaṁkāra,T02n2974u,,,,Not found.,Munimatālaṁkāra,,,,https://www.dsbcproject.org/canon-text/book/846,,
book_838.xml,Kālacakrāvatāraḥ,T02n2965u,,,,Not found.,Kālacakrāvatāra,,,,https://www.dsbcproject.org/canon-text/book/838,,
book_836.xml,Āryamāyājālamahātantroddhṛtamaṇdalagāthāṭippaṇī,T02n2963u,,,,Not found.,Āryamāyājālamahātantroddhṛtamaṇḍalagāthāṭippaṇī,"In this title, I corrected the word ""maṇdala"" to ""maṇḍala"".",,,https://www.dsbcproject.org/canon-text/book/836,,
book_834.xml,Tattvajñānasaṁsiddhi-mahāsukharakāśikā-ṭīkā,T02n2961u,,,,Not found.,Tattvajñānasaṁsiddhi-mahāsukharakāśikā-ṭīkā,,,,https://www.dsbcproject.org/canon-text/book/834,,
book_828.xml,Kriyāsaṁgrahapañjikā,T02n2955u,,,,Not found.,Kriyāsaṁgrahapañjikā,,,,https://www.dsbcproject.org/canon-text/book/828,,
book_823.xml,Bauddhadharme tathā purāṇeṣu karuṇā,T02n2952u,,,,Not found.,Bauddhadharme tathā purāṇeṣu karuṇā,,,,https://www.dsbcproject.org/canon-text/book/823,,
book_817.xml,Paribhāṣāvṛtteh,T02n2946u,,,,Not found.,Paribhāṣāvṛtti,,,,https://www.dsbcproject.org/canon-text/book/817,,
book_805.xml,Abhayapaddhati,T02n2934u,T02D1654,D1654,,Not found.,Abhayapaddhati,,Abhayākaragupta,P4004,https://www.dsbcproject.org/canon-text/book/805,,https://archive.org/details/bdrc-W3CN22959/mode/2up
book_803.xml,Adhyātmasāraśatakam(saṭīkam),T02n2932u,,,,Not found.,Adhyātmasāraśataka [Adhyātmasāraśatakasaṭīka],,,,https://www.dsbcproject.org/canon-text/book/803,,
book_790.xml,Tattvaratnāvalī,T02n2918u,,,,Not found.,Tattvaratnāvalī,,,,https://www.dsbcproject.org/canon-text/book/790,,
book_786.xml,Śrīsahajasiddhi,T02n2914u,,,,Not found.,Śrīsahajasiddhi,,,,https://www.dsbcproject.org/canon-text/book/786,,
book_784.xml,Prajñopāyaviniścayasiddhiḥ,T02n2912u,,,,Not found.,Prajñopāyaviniścayasiddhi,,,,https://www.dsbcproject.org/canon-text/book/784,,
book_782.xml,Ādikarmapradīpa,T02n2910u,,,,Not found.,Ādikarmapradīpa [Ādikarmapradīpa Bodhicaryāvatāraṭīkā],,,,https://www.dsbcproject.org/canon-text/book/782,,https://archive.org/details/bouddhismetudes00goog/mode/2up
book_780.xml,Balimālikā,T02n2908u,,,,Not found.,Balimālikā,,,,https://www.dsbcproject.org/canon-text/book/780,,
book_778.xml,Mantroddhāra,T02n2906u,,,,Not found.,Mantroddhāra,,,,https://www.dsbcproject.org/canon-text/book/778,,
book_758.xml,Samājasādhanavyavastholi,T02n2886u,,,,Not found.,Samājasādhanavyavastholi,,,,https://www.dsbcproject.org/canon-text/book/758,,
book_756.xml,Samantabhadra nāma sādhana ṭīkā,T02n2884u,,,,Not found.,Samantabhadra nāma sādhana ṭīkā,,,,https://www.dsbcproject.org/canon-text/book/756,,
